# Time-averaged data for fix energy
# TimeStep v_k v_e v_t v_T
27850 157.505 -6239.9 -6082.39 732.278
27900 155.873 -6240.11 -6084.24 724.693
27950 154.883 -6237.76 -6082.88 720.089
28000 155.74 -6238.73 -6082.99 724.071
28050 154.36 -6237.47 -6083.11 717.656
28100 155.486 -6241.03 -6085.54 722.892
28150 152.188 -6236.29 -6084.1 707.557
28200 154.28 -6240.43 -6086.15 717.286
28250 153.035 -6240.5 -6087.46 711.494
28300 154.851 -6242.86 -6088.01 719.941
28350 155.639 -6242.94 -6087.3 723.602
28400 155.441 -6243.55 -6088.11 722.681
28450 156.212 -6245.25 -6089.04 726.266
28500 154.69 -6244.97 -6090.28 719.193
28550 153.18 -6241.01 -6087.83 712.172
28600 154.532 -6242.48 -6087.95 718.456
28650 155.358 -6239.32 -6083.96 722.295
28700 156.264 -6241.69 -6085.43 726.509
28750 153.933 -6237.98 -6084.05 715.673
28800 153.577 -6240.59 -6087.01 714.018
28850 155.578 -6240.43 -6084.85 723.319
28900 154.912 -6240.59 -6085.67 720.225
28950 156.272 -6243.54 -6087.27 726.544
29000 155.406 -6242.57 -6087.16 722.522
29050 155.292 -6242.66 -6087.37 721.99
29100 156.928 -6245.61 -6088.68 729.596
29150 156.321 -6241.21 -6084.89 726.774
29200 154.757 -6239.68 -6084.92 719.501
29250 156.521 -6243.24 -6086.72 727.702
29300 153.165 -6239.7 -6086.53 712.101
29350 155.666 -6239.22 -6083.55 723.73
29400 154.532 -6238.42 -6083.89 718.456
29450 155.597 -6237.55 -6081.95 723.41
29500 155.824 -6238.89 -6083.07 724.464
29550 156.132 -6237.95 -6081.81 725.897
29600 157.549 -6239.87 -6082.32 732.482
29650 156.144 -6238.2 -6082.05 725.95
29700 157.473 -6242.19 -6084.72 732.13
29750 155.793 -6241.97 -6086.18 724.317
29800 157.17 -6240.99 -6083.82 730.723
29850 154.379 -6242.32 -6087.94 717.746
29900 156.751 -6243.52 -6086.77 728.775
29950 153.811 -6239.08 -6085.27 715.106
30000 153.717 -6239.84 -6086.13 714.665
30050 154.52 -6239.99 -6085.47 718.402
